term	definition
Translation	Translation, as related to genomics, is the process through which information encoded in messenger RNA (mRNA) directs the addition of amino acids during protein synthesis. Translation takes place on ribosomes in the cell cytoplasm, where mRNA is read and translated into the string of amino acid chains that make up the synthesized protein.
Translocation	A translocation, as related to genetics, occurs when a chromosome breaks and the (typically two) fragmented pieces re-attach to different chromosomes. The detection of chromosomal translocations can be important for the diagnosis of certain genetic diseases and disorders.
Tumor Suppressor Gene	A tumor suppressor gene encodes a protein that acts to regulate cell division, keeping it in check. When a tumor suppressor gene is inactivated by a mutation, the protein it encodes is not produced or does not function properly, and as a result, uncontrolled cell division may occur. Such mutations may contribute to the development of a cancer.
Uracil	Uracil (U) is one of the four nucleotide bases in RNA, with the other three being adenine (A), cytosine (C) and guanine (G). In RNA, uracil pairs with adenine. In a DNA molecule, the nucleotide thymine (T) is used in place of uracil.
Variant of Uncertain Significance (VUS)	When analysis of a patient’s genome identifies a variant, but it is unclear whether that variant is actually connected to a health condition, the finding is called a variant of uncertain significance (abbreviated VUS). In many cases, these variants are so rare in the population that little information is available about them. Typically, more information is required to determine if the variant is disease related. Such information may include more extensive population data, functional studies, and tracing the variant in other family members who have or do not have the same health condition.
Vector	A vector, as related to molecular biology, is a DNA molecule (often plasmid or virus) that is used as a vehicle to carry a particular DNA segment into a host cell as part of a cloning or recombinant DNA technique. The vector typically assists in replicating and/or expressing the inserted DNA sequence inside the host cell.
Virus	A virus is an infectious microbe consisting of a segment of nucleic acid (either DNA or RNA) surrounded by a protein coat. A virus cannot replicate alone; instead, it must infect cells and use components of the host cell to make copies of itself. Often, a virus ends up killing the host cell in the process, causing damage to the host organism. Well-known examples of viruses causing human disease include AIDS, COVID-19, measles and smallpox.
X Chromosome	The X chromosome is one of the two sex chromosomes that are involved in sex determination. Humans and most other mammals have two sex chromosomes (X and Y) that in combination determine the sex of an individual. Females have two X chromosomes in their cells, while males have one X and one Y.
X-Linked	X-linked, as related to genetics, refers to characteristics or traits that are influenced by genes on the X chromosome. Humans and most other mammals have two sex chromosomes, X and Y. Females have two X chromosomes in their cells, while males have one X and one Y. In the case of an X-linked disease, it is usually males that are affected because they have a single copy of the X chromosome that carries the disease-causing mutation. In females, the presence of a second, non-mutated copy may cause different, milder, or no symptoms of a sex-linked disorder.
Y Chromosome	The Y chromosome is one of the two sex chromosomes that are involved in sex determination. Humans and most other mammals have two sex chromosomes (X and Y) that in combination determine the sex of an individual. Females have two X chromosomes in their cells, while males have one X and one Y.
